question,answer,source_file
b'Solve -51*i - 25 = -46*i for i.\n',b'-5\n',algebra__linear_1d_train.csv
b'Solve 21402 = -454*t - 31262 for t.\n',b'-116\n',algebra__linear_1d_train.csv
b'Solve 36*d + 65 + 48 + 67 = 0 for d.\n',b'-5\n',algebra__linear_1d_train.csv
b'Solve 179*q = 181*q + 8 for q.\n',b'-4\n',algebra__linear_1d_train.csv
b'Solve 41*f + 69 = -13 for f.\n',b'-2\n',algebra__linear_1d_train.csv
b'Solve -485144 - 124648 = -12292*n + 336692 for n.\n',b'77\n',algebra__linear_1d_train.csv
b'Solve 5*n + 17*n = -22*n + 44 for n.\n',b'1\n',algebra__linear_1d_train.csv
b'Solve 57 = -26*x - 21 for x.\n',b'-3\n',algebra__linear_1d_train.csv
b'Solve -5*k + 28*k - 9*k = -126 for k.\n',b'-9\n',algebra__linear_1d_train.csv
b'Solve -29*q - 5 = 8 + 16 for q.\n',b'-1\n',algebra__linear_1d_train.csv
b'Solve 6 = -2*d + 5*d for d.\n',b'2\n',algebra__linear_1d_train.csv
b'Solve 0 = 26545*v - 26515*v for v.\n',b'0\n',algebra__linear_1d_train.csv
"b'Let c(u) be the first derivative of -u**4/4 - u**2/2 + 2*u + 1. Let y be c(0). Solve 0*f + 5*n + 9 = -y*f, 0 = 3*f - n - 12 for f.\n'",b'3\n',algebra__linear_2d_composed_train.csv
"b'Suppose 2*y - 4*v + v = 27, -4*y - 3*v = -45. Solve -5 = a + q - 0, y = -4*a - 2*q for a.\n'",b'-1\n',algebra__linear_2d_composed_train.csv
"b'Suppose -2*v + 8 + 6 = u, -5*v = -5*u - 35. Solve -a - 11 = -3*b, -4*b + v - 3 = -4*a for a.\n'",b'4\n',algebra__linear_2d_composed_train.csv
"b'Suppose 0 = -43*f + 12*f + 155. Solve 0 = -4*u + f*p - 3, 2*u - 4*p = -7*p + 15 for u.\n'",b'3\n',algebra__linear_2d_composed_train.csv
"b'Let f(m) = 0*m - m + 1 - 4. Suppose -3*z = y - 3, 0*y - y - 12 = -2*z. Let i be f(y). Solve k = n, -i*k - 5*n + 18 = -22 for k.\n'",b'5\n',algebra__linear_2d_composed_train.csv
"b'Let l be 174/12 - 6/(-4). Let n = l - 12. Let u = -9 - -15. Solve -4*y + n + 16 = 3*t, -2*t + u = -y for y.\n'",b'2\n',algebra__linear_2d_composed_train.csv
"b'Let r(l) = l + 9. Let g be r(-7). Suppose j = 7 - g. Solve -i = -j*c + c - 8, 5*c + 7 = 2*i for c.\n'",b'-3\n',algebra__linear_2d_composed_train.csv
"b'Let i(n) = 4*n + 5. Let m(b) = -9*b - 11. Let j(s) = -13*i(s) - 6*m(s). Suppose 3*a - 6 - 15 = 0. Let r be j(a). Solve 4 = w + h - 3, 5*w = 5*h - r for w.\n'",b'2\n',algebra__linear_2d_composed_train.csv
"b'Suppose 3*z = 11*s - 14*s + 24, 3*z = s + 8. Solve -13 = 4*x - 9*x - p, -z*x = -3*p - 18 for x.\n'",b'3\n',algebra__linear_2d_composed_train.csv
"b'Let z(o) = -47*o**2 - 658*o + 31. Let b be z(-14). Solve 0 = -2*f - 3*j + 9, -46 = -4*f - 5*j - b for f.\n'",b'0\n',algebra__linear_2d_composed_train.csv
"b'Let c = 171 + -169. Solve 2*h = 8, b - c*b + 1 = h for b.\n'",b'-3\n',algebra__linear_2d_composed_train.csv
"b'Suppose -9 = 4*j - 93. Suppose -b = -4*b + j. Let n(x) = x**2 - 5*x - 3. Let p be n(b). Solve -3*w = 4*h - w - 4, 0 = 3*h + 5*w + p for h.\n'",b'3\n',algebra__linear_2d_composed_train.csv
"b'Suppose -4*u + 3*j = 4*j - 5, 0 = -4*u - 3*j + 7. Solve -4*f - 2 = -2*w, 5*f - u = 2*w - 3 for w.\n'",b'1\n',algebra__linear_2d_composed_train.csv
"b'Let h = -49 + -23. Let s = h - -63. Let a be s/18 - 15/(-6). Solve 4*q = 6*q - 3*z, -a*q = -5*z for q.\n'",b'0\n',algebra__linear_2d_composed_train.csv
"b'Suppose 0 = s - 4*b + 8*b - 20, 10 = -2*s + 2*b. Let q(d) = -d + 5. Let j be q(s). Solve j*m - 13 = -4*p, -4*m + 4*p + 41 - 9 = 0 for m.\n'",b'5\n',algebra__linear_2d_composed_train.csv
"b'Suppose -15 = 67*s - 70*s. Solve -33 = -4*a + s*q, 2*a - 4*q - q = 29 for a.\n'",b'2\n',algebra__linear_2d_composed_train.csv
"b'Let c(r) = -r**2 + 18*r. Let g be c(18). Solve 5*q + 7*m = 9*m + 16, g = -3*q + 3*m + 6 for q.\n'",b'4\n',algebra__linear_2d_composed_train.csv
"b'Suppose 20*d + 0 = 100. Solve 5*t - 32 = 5*h - h, -19 = d*h - t for h.\n'",b'-3\n',algebra__linear_2d_composed_train.csv
"b'Suppose -3*u + 11 = 2. Suppose 4 + 2 = -u*v, 0 = 2*j + 5*v + 6. Solve r + j*q = 15, 2*r - r = q for r.\n'",b'5\n',algebra__linear_2d_composed_train.csv
"b'Let t(j) be the first derivative of 2*j**2 - 7*j - 13. Let d be t(2). Let q be 2 - ((d - 6) + 4). Solve c + q*s = 1, 0*s - s + 1 = 0 for c.\n'",b'-2\n',algebra__linear_2d_composed_train.csv
"b'Solve -100 = o - 5*g - 83, -3*o - 2*g + 17 = 0 for o.\n'",b'3\n',algebra__linear_2d_train.csv
"b'Solve 6*m + 31 = -4*g + 11*m, 5*m = 15 for g.\n'",b'-4\n',algebra__linear_2d_train.csv
"b'Solve -2*l + 541*n - 546*n - 20 = 0, -5*l + 2*n - 21 = 0 for l.\n'",b'-5\n',algebra__linear_2d_train.csv
"b'Solve 201*t - 204*t - 1 = -p, 4*t = 2*p - 4 for t.\n'",b'1\n',algebra__linear_2d_train.csv
"b'Solve 2*f - 491*t = -482*t - 11, -4*f + 3*t = 6*t - 83 for f.\n'",b'17\n',algebra__linear_2d_train.csv
"b'Solve 5*q - 16 = f + 12, 0 = f + 2*q - 7 for f.\n'",b'-3\n',algebra__linear_2d_train.csv
"b'Solve -5*i - w + 10 = 0, -3*i - 4*w + 7*w + 24 = 0 for i.\n'",b'3\n',algebra__linear_2d_train.csv
"b'Solve -2*n = -2*m - 4, 2*n + 16 = -2*m - 0*n for m.\n'",b'-5\n',algebra__linear_2d_train.csv
"b'Solve -8*f - 20 = -z, 4*z = f + 187 - 169 for z.\n'",b'4\n',algebra__linear_2d_train.csv
"b'Solve -5*b = -10*r - 235, -3*r + 5*b - 103 = -0*b + 118 for r.\n'",b'-2\n',algebra__linear_2d_train.csv
"b'Solve 4*z = -5*f - 491 + 471, 4*z = 4*f + 16 for f.\n'",b'-4\n',algebra__linear_2d_train.csv
"b'Solve -4 = -4*x + 2*c, -4*x + 28 = -0*x + 4*c for x.\n'",b'3\n',algebra__linear_2d_train.csv
"b'Solve -3*r - 35 = -4*x, -2*r = -3*x + 5*x for x.\n'",b'5\n',algebra__linear_2d_train.csv
"b'Solve -460*v + z = -458*v - 7, -6*z = -2*v + 22 for v.\n'",b'2\n',algebra__linear_2d_train.csv
"b'Solve 0 = -3*i + 2*u + 26, -3*i + 3*u - 488 = -512 for i.\n'",b'10\n',algebra__linear_2d_train.csv
"b'Solve -5*b + 10*b - 5 = 2*x, 5*x + b = 1 for x.\n'",b'0\n',algebra__linear_2d_train.csv
"b'Solve 4*p - 3*g - 13 = 0, -4*g = 384 - 388 for p.\n'",b'4\n',algebra__linear_2d_train.csv
"b'Solve -2*x - 387 = -2*y - 419, -4*x - y + 39 = 0 for x.\n'",b'11\n',algebra__linear_2d_train.csv
"b'Solve m - 2 = n - 2*m, -3 = 3*m for n.\n'",b'-5\n',algebra__linear_2d_train.csv
"b'Solve 0 = 5*p + 4*f - 33, p + 1210*f = 1206*f + 13 for p.\n'",b'5\n',algebra__linear_2d_train.csv
b'Let j(k) = 2*k**2 - 8*k + 2. Let u be j(6). Determine a so that 20*a + 4*a**2 + 10*a**2 - u*a - 18 - 2*a**3 - 4*a**2 = 0.\n',"b'-1, 3\n'",algebra__polynomial_roots_composed_train.csv
b'Let u(q) be the third derivative of q**6/180 - q**5/90 + q**2. Factor u(p).\n',b'2*p**2*(p - 1)/3\n',algebra__polynomial_roots_composed_train.csv
b'Solve 8 + 5*t - 11/4*t**2 + 1/4*t**3 = 0 for t.\n',"b'-1, 4, 8\n'",algebra__polynomial_roots_composed_train.csv
"b'Suppose -3*b - 8 = -5*b. Suppose -t = 2*j + 3*j + 19, -4*j - 20 = -b*t. Factor 4*d + d**2 + 0*d**2 + t - 2*d.\n'",b'(d + 1)**2\n',algebra__polynomial_roots_composed_train.csv
b'Suppose 0 = 16*l - 15*l + 201. Let h = l - -206. Let 0*p + 8/3*p**4 + 0 - 14/9*p**h - 4/9*p**2 - 2/3*p**3 = 0. Calculate p.\n',"b'-2/7, 0, 1\n'",algebra__polynomial_roots_composed_train.csv
b'Suppose 6*w**3 + w + 5/2*w**4 + 0 + 9/2*w**2 = 0. What is w?\n',"b'-1, -2/5, 0\n'",algebra__polynomial_roots_composed_train.csv
b'Suppose q = -110 + 346. Factor 1188*t**2 + 192 - q*t + 1099*t - 47*t + 310*t**3 + 419*t**3 + 162*t**4.\n',b'3*(2*t + 1)*(3*t + 4)**3\n',algebra__polynomial_roots_composed_train.csv
b'Let y(j) be the third derivative of -1/8*j**4 + 1/40*j**5 + 1/4*j**3 + j**2 + 0*j + 0. Factor y(a).\n',b'3*(a - 1)**2/2\n',algebra__polynomial_roots_composed_train.csv
b'Let z = -18110 - -18113. Factor -6/5*b**2 + 8/5 - 2/5*b**z + 0*b.\n',b'-2*(b - 1)*(b + 2)**2/5\n',algebra__polynomial_roots_composed_train.csv
b'Let w be 9/((-9)/4) + 89. Let y = 152 - w. Factor -8*v**3 + y*v - 2*v**3 - 62*v + 5*v**5.\n',b'5*v*(v - 1)**2*(v + 1)**2\n',algebra__polynomial_roots_composed_train.csv
b'Let g be 0*(-81)/270*(-5)/3. Let f(h) be the second derivative of -1/40*h**5 + 1/12*h**3 + 0*h**4 + 1/8*h**2 - 6*h + g - 1/120*h**6. Find b such that f(b) = 0.\n',"b'-1, 1\n'",algebra__polynomial_roots_composed_train.csv
b'Factor -15/7 - 18/7*r - 3/7*r**2.\n',b'-3*(r + 1)*(r + 5)/7\n',algebra__polynomial_roots_composed_train.csv
b'Let q = -132 - -136. Let -9/4*t**q - 6*t**3 - 11/2*t**2 - 1/4 - 2*t = 0. Calculate t.\n',"b'-1, -1/3\n'",algebra__polynomial_roots_composed_train.csv
b'Let b(m) be the third derivative of m**7/105 - 5*m**6/24 - 61*m**5/30 - 161*m**4/24 - 11*m**3 + m**2 + 1953*m. Factor b(j).\n',b'(j + 1)**2*(j + 2)*(2*j - 33)\n',algebra__polynomial_roots_composed_train.csv
b'Let y be 9*(-4 + (-10)/(-3)) - 37/(-6). Factor -15*p**2 - 11/6*p**4 - 23/3*p**3 - y*p**5 - 9/2 - 27/2*p.\n',b'-(p + 1)**2*(p + 3)**3/6\n',algebra__polynomial_roots_composed_train.csv
b'Let p be -1 + (26 - (0 + 0)). Let m be 40/p*10/4. Determine r so that -6*r**2 - 2 + 2*r**2 - 3*r**m + 4*r**3 + 9*r**4 - 6*r + 2*r**5 = 0.\n',"b'-1, 1\n'",algebra__polynomial_roots_composed_train.csv
"b'Suppose 7*g - 3*g + 23 = -3*x, 11 = 2*g - 3*x. Let q be (((-1)/(-1))/((-1)/g))/6. Solve 0 - 4/3*t**2 - q*t**3 - 4/3*t = 0.\n'","b'-2, 0\n'",algebra__polynomial_roots_composed_train.csv
"b'Suppose -2*i = 4*k - 34, -i = i - 10. Suppose -2*h - u = -5, 0 = h + 3*u + k - 1. What is x in -3*x**3 - x**4 + 5*x**3 + 3*x**h = 0?\n'","b'-1, 0\n'",algebra__polynomial_roots_composed_train.csv
b'Let l(c) = -c**4 - 29*c**3 + 7*c**2 + 35*c - 3. Let o(g) = 6*g**4 + 146*g**3 - 34*g**2 - 174*g + 14. Let f(r) = 14*l(r) + 3*o(r). Factor f(h).\n',b'4*h*(h - 1)*(h + 1)*(h + 8)\n',algebra__polynomial_roots_composed_train.csv
b'Suppose 450 + 2*c**2 - 64*c - 60*c + 184*c = 0. What is c?\n',b'-15\n',algebra__polynomial_roots_composed_train.csv
"b'Determine f, given that -45*f**2 + 5390*f + 1200 = 0.\n'","b'-2/9, 120\n'",algebra__polynomial_roots_train.csv
b'Solve -3*c**2/2 + 54*c + 378 = 0 for c.\n',"b'-6, 42\n'",algebra__polynomial_roots_train.csv
b'Factor -4*v**3 + 244*v**2 + 2756*v + 5964.\n',b'-4*(v - 71)*(v + 3)*(v + 7)\n',algebra__polynomial_roots_train.csv
b'Suppose 12*t**2 + 3172*t - 5320 = 0. What is t?\n',"b'-266, 5/3\n'",algebra__polynomial_roots_train.csv
b'Factor -2*p**2 + 68178*p - 5441440.\n',b'-2*(p - 34009)*(p - 80)\n',algebra__polynomial_roots_train.csv
b'Factor -2187*z**4/5 - 153819*z**3/5 + 103194*z**2/5 - 4596*z + 1704/5.\n',b'-3*(z + 71)*(9*z - 2)**3/5\n',algebra__polynomial_roots_train.csv
b'Let l**3/6 - 29*l**2/2 - 60*l - 182/3 = 0. What is l?\n',"b'-2, 91\n'",algebra__polynomial_roots_train.csv
b'Factor -b**2/2 + 44*b - 968.\n',b'-(b - 44)**2/2\n',algebra__polynomial_roots_train.csv
b'Factor 2*o**3/11 + 2148*o**2/11 + 578880*o/11 + 1149184/11.\n',b'2*(o + 2)*(o + 536)**2/11\n',algebra__polynomial_roots_train.csv
b'Factor -2*y**3/9 + 11162194*y**2/9 + 26045152*y/3.\n',b'-2*y*(y - 5581104)*(y + 7)/9\n',algebra__polynomial_roots_train.csv
b'Factor 4*m**4 - 164*m**3 + 468*m**2 - 460*m + 152.\n',b'4*(m - 38)*(m - 1)**3\n',algebra__polynomial_roots_train.csv
b'Let -j**3/2 + 274*j**2 - 1637*j/2 + 545 = 0. Calculate j.\n',"b'1, 2, 545\n'",algebra__polynomial_roots_train.csv
b'Factor -4*k**2/7 + 1276*k/7 + 2568/7.\n',b'-4*(k - 321)*(k + 2)/7\n',algebra__polynomial_roots_train.csv
b'Solve s**5/7 - 617*s**4/7 + 18857*s**3/7 - 80191*s**2/7 + 26694*s/7 + 126360/7 = 0 for s.\n',"b'-1, 2, 4, 27, 585\n'",algebra__polynomial_roots_train.csv
b'Solve -21*f**5 + 6224*f**4 + 109783*f**3 - 170462*f**2 - 136396*f - 22536 = 0.\n',"b'-18, -1/3, -2/7, 2, 313\n'",algebra__polynomial_roots_train.csv
b'Factor 5*t**3 + 2360*t**2 + 276105*t - 561690.\n',b'5*(t - 2)*(t + 237)**2\n',algebra__polynomial_roots_train.csv
b'Factor 5*j**4 + 2965*j**3 - 2980*j**2 - 5940*j.\n',b'5*j*(j - 2)*(j + 1)*(j + 594)\n',algebra__polynomial_roots_train.csv
b'Find o such that o**5/4 - 499*o**4/4 - 8847*o**3/4 + 36919*o**2/4 + 458653*o/2 + 218010 = 0.\n',"b'-13, -1, 10, 516\n'",algebra__polynomial_roots_train.csv
b'Factor -2*v**4/7 - 48*v**3/7 - 46*v**2/7.\n',b'-2*v**2*(v + 1)*(v + 23)/7\n',algebra__polynomial_roots_train.csv
b'Factor 1024*x**2/3 + 151424*x/3 + 5597956/3.\n',b'4*(16*x + 1183)**2/3\n',algebra__polynomial_roots_train.csv
"b'What is the next term in -226, -227, -224, -217, -206, -191, -172?\n'",b'-149\n',algebra__sequence_next_term_train.csv
"b'What is next in -29, -30, -9, 40, 123, 246, 415?\n'",b'636\n',algebra__sequence_next_term_train.csv
"b'What is next in -2503, -5372, -8227, -11062, -13871, -16648, -19387?\n'",b'-22082\n',algebra__sequence_next_term_train.csv
"b'What comes next: 4, -49, -142, -281, -472, -721, -1034, -1417?\n'",b'-1876\n',algebra__sequence_next_term_train.csv
"b'What comes next: 1523, 1982, 2473, 3002, 3575, 4198, 4877, 5618?\n'",b'6427\n',algebra__sequence_next_term_train.csv
"b'What is next in 1733, 3473, 5213, 6953, 8693, 10433?\n'",b'12173\n',algebra__sequence_next_term_train.csv
"b'What comes next: 27, 54, 79, 102, 123, 142?\n'",b'159\n',algebra__sequence_next_term_train.csv
"b'What is next in 73, 151, 233, 319, 409, 503?\n'",b'601\n',algebra__sequence_next_term_train.csv
"b'What is the next term in -2852, -6469, -10086, -13703, -17320?\n'",b'-20937\n',algebra__sequence_next_term_train.csv
"b'What comes next: 958697, 3834805, 8628321, 15339245, 23967577?\n'",b'34513317\n',algebra__sequence_next_term_train.csv
"b'What comes next: 47, -332, -1345, -3304, -6521?\n'",b'-11308\n',algebra__sequence_next_term_train.csv
"b'What comes next: 392, 391, 390, 389, 388, 387?\n'",b'386\n',algebra__sequence_next_term_train.csv
"b'What comes next: 62, 126, 190, 254, 318, 382?\n'",b'446\n',algebra__sequence_next_term_train.csv
"b'What comes next: 425293, 850638, 1276015, 1701424?\n'",b'2126865\n',algebra__sequence_next_term_train.csv
"b'What is the next term in -1656, -1673, -1702, -1743, -1796?\n'",b'-1861\n',algebra__sequence_next_term_train.csv
"b'What is next in -195, -413, -631?\n'",b'-849\n',algebra__sequence_next_term_train.csv
"b'What is next in -284, -487, -822, -1283, -1864?\n'",b'-2559\n',algebra__sequence_next_term_train.csv
"b'What comes next: -61, -221, -483, -847?\n'",b'-1313\n',algebra__sequence_next_term_train.csv
"b'What is next in 7, 18, 55, 130, 255, 442, 703, 1050?\n'",b'1495\n',algebra__sequence_next_term_train.csv
"b'What is next in 67341, 67334, 67323, 67308, 67289?\n'",b'67266\n',algebra__sequence_next_term_train.csv
"b""What is the y'th term of 2, 19, 72, 179, 358?\n""",b'3*y**3 - 4*y + 3\n',algebra__sequence_nth_term_train.csv
"b""What is the k'th term of -766, -3055, -6864, -12193?\n""",b'-760*k**2 - 9*k + 3\n',algebra__sequence_nth_term_train.csv
"b""What is the r'th term of 1119, 4503, 10143, 18039?\n""",b'1128*r**2 - 9\n',algebra__sequence_nth_term_train.csv
"b""What is the s'th term of -93887, -93876, -93865, -93854?\n""",b'11*s - 93898\n',algebra__sequence_nth_term_train.csv
"b""What is the q'th term of 2649, 5407, 8155, 10893, 13621, 16339, 19047?\n""",b'-5*q**2 + 2773*q - 119\n',algebra__sequence_nth_term_train.csv
"b""What is the b'th term of 25, 34, 45, 58, 73?\n""",b'b**2 + 6*b + 18\n',algebra__sequence_nth_term_train.csv
"b""What is the v'th term of 275, 237, 179, 107, 27, -55?\n""",b'v**3 - 16*v**2 + 3*v + 287\n',algebra__sequence_nth_term_train.csv
"b""What is the w'th term of 1358, 2712, 4066, 5420, 6774, 8128?\n""",b'1354*w + 4\n',algebra__sequence_nth_term_train.csv
"b""What is the c'th term of -414, -475, -538, -603, -670, -739, -810?\n""",b'-c**2 - 58*c - 355\n',algebra__sequence_nth_term_train.csv
"b""What is the z'th term of -54821442, -54821441, -54821440, -54821439?\n""",b'z - 54821443\n',algebra__sequence_nth_term_train.csv
"b""What is the f'th term of 5330, 42703, 144154, 341723, 667450, 1153375, 1831538, 2733979?\n""",b'5340*f**3 - f**2 - 4*f - 5\n',algebra__sequence_nth_term_train.csv
"b""What is the c'th term of -6, -34, -80, -144, -226?\n""",b'-9*c**2 - c + 4\n',algebra__sequence_nth_term_train.csv
"b""What is the s'th term of 241, 243, 245?\n""",b'2*s + 239\n',algebra__sequence_nth_term_train.csv
"b""What is the z'th term of -802370, -3209444, -7221210, -12837656, -20058770, -28884540, -39314954, -51350000?\n""",b'2*z**3 - 802358*z**2 - 14*z\n',algebra__sequence_nth_term_train.csv
"b""What is the w'th term of 927, 1786, 2645, 3504, 4363, 5222?\n""",b'859*w + 68\n',algebra__sequence_nth_term_train.csv
"b""What is the q'th term of 112, 221, 328, 433, 536, 637?\n""",b'-q**2 + 112*q + 1\n',algebra__sequence_nth_term_train.csv
"b""What is the k'th term of -45648, -91046, -136430, -181794, -227132, -272438, -317706?\n""",b'k**3 + k**2 - 45408*k - 242\n',algebra__sequence_nth_term_train.csv
"b""What is the b'th term of 181, 196, 237, 316, 445, 636?\n""",b'2*b**3 + b**2 - 2*b + 180\n',algebra__sequence_nth_term_train.csv
"b""What is the j'th term of -49, -43, -27, 5, 59, 141, 257?\n""",b'j**3 - j**2 + 2*j - 51\n',algebra__sequence_nth_term_train.csv
"b""What is the f'th term of 75909, 151810, 227707, 303600?\n""",b'-2*f**2 + 75907*f + 4\n',algebra__sequence_nth_term_train.csv
"b'In base 14, what is 1 - b?\n'",b'-a\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 15, what is 1d9 + 5?\n'",b'1de\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 12, what is -4 - 670b?\n'",b'-6713\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 10, what is -2 - -342?\n'",b'340\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 3, what is 1202101 - 12022112?\n'",b'-10120011\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 8, what is -5 - 353?\n'",b'-360\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 9, what is -84 + 7?\n'",b'-76\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 12, what is 77 + -2?\n'",b'75\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 13, what is 8a4 - -6?\n'",b'8aa\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 5, what is 3111 + 41414432?\n'",b'41423043\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 5, what is 13 + 231333?\n'",b'231401\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 13, what is 2 - -3a3?\n'",b'3a5\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 8, what is -7 + -332?\n'",b'-341\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 13, what is -2c0 - -246440?\n'",b'246150\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 5, what is 14133031 - 4?\n'",b'14133022\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 2, what is -10101000 - -100?\n'",b'-10100100\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 13, what is -159a - -2?\n'",b'-1598\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 12, what is 28555 - -7?\n'",b'28560\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 11, what is -10 - 176?\n'",b'-186\n',arithmetic__add_or_sub_in_base_train.csv
"b'In base 10, what is 1 + -537119?\n'",b'-537118\n',arithmetic__add_or_sub_in_base_train.csv
b'What is -0.44 + -70.4?\n',b'-70.84\n',arithmetic__add_or_sub_train.csv
b'What is -717 less than -7?\n',b'710\n',arithmetic__add_or_sub_train.csv
b'Work out -0.8 - 58204771.\n',b'-58204771.8\n',arithmetic__add_or_sub_train.csv
b'Total of 901528 and 0.024.\n',b'901528.024\n',arithmetic__add_or_sub_train.csv
b'Put together 8029506 and 14096341.\n',b'22125847\n',arithmetic__add_or_sub_train.csv
b'What is -7.9 take away -14?\n',b'6.1\n',arithmetic__add_or_sub_train.csv
b'Add together -4 and 123.238.\n',b'119.238\n',arithmetic__add_or_sub_train.csv
b'Sum -0.01531 and -2.\n',b'-2.01531\n',arithmetic__add_or_sub_train.csv
b'Add together -41 and -0.0417649.\n',b'-41.0417649\n',arithmetic__add_or_sub_train.csv
